"Source:","/home/invento/Documentos/PCB-CLN/PCB_N4(box)/PCB_N4(box).sch"
"Date:","jue 01 feb 2024 14:18:20"
"Tool:","Eeschema 7.0.9-7.0.9~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","42"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","2","BAT1, VALV1","Conn_01x02","Connector_Generic:Conn_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~",""
"2","6","C1, C4, C7, C9, C10, C11","C_Small","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~",""
"3","2","C2, C5","CP_Small","PCB_N4(box)-rescue:CP_Small-Device","Capacitor_THT:C_Radial_D12.5mm_H20.0mm_P5.00mm","",""
"4","1","C8","CP_Small","PCB_N4(box)-rescue:CP_Small-Device","Capacitor_THT:CP_Radial_Tantal_D10.5mm_P2.50mm","",""
"5","1","C12","CP_Small","PCB_N4(box)-rescue:CP_Small-Device","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","",""
"6","1","C13","CP_Small","PCB_N4(box)-rescue:CP_Small-Device","Capacitor_THT:CP_Radial_D10.0mm_P3.80mm","",""
"7","1","D1","DIODE","PCB_N4(box)-rescue:DIODE-pspice","PCB_N2:diod_10-15.24mm","",""
"8","3","D4, D5, D6","DIODE","PCB_N4(box)-rescue:DIODE-pspice","PCB_N2:diod_2.54-10.16","",""
"9","1","DC1","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~",""
"10","2","F1, F2","R_Small","Device:R_Small","PCB_N2:fuse_7.62mm","~",""
"11","3","H1, H2, H3","Conn_02x05_Counter_Clockwise","Connector_Generic:Conn_02x05_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~",""
"12","3","LD1, LD2, LD3","LED","Device:LED","LED_THT:LED_D3.0mm","~",""
"13","2","Q1, Q2","PN2222A","Transistor_BJT:PN2222A","Package_TO_SOT_THT:TO-92","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF",""
"14","11","R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14","R_Small","Device:R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~",""
"15","2","RLY1, RLY2","SANYOU_SRD_Form_C","Relay:SANYOU_SRD_Form_C","Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C","http://www.sanyourelay.ca/public/products/pdf/SRD.pdf",""
"16","1","U2","NE556N","New_Library:NE556N","Package_DIP:DIP-14_W7.62mm","",""
